번호,발생시각,규모,깊이,최대진도,위도,경도,위치
1072,2021-08-01 14:19,2.2,13,Ⅰ,35.65 N,129.53 E,울산 북구 동북동쪽 17km 해역
1071,2021-07-31 5:17,2.5,22,Ⅲ,35.65 N,128.40 E,대구 달성군 남남서쪽 14km 지역
1070,2021-07-26 6:50,2.2,14,Ⅲ,36.32 N,128.21 E,경북 상주시 남남동쪽 11km 지역
1069,2021-07-07 6:57,2.3,20,Ⅱ,36.77 N,128.46 E,경북 예천군 북쪽 14km 지역
1068,2021-06-14 22:42,2.4,20,Ⅰ,35.81 N,129.77 E,경북 포항시 남구 동남동쪽 43km 해역
1067,2021-06-13 23:57,2.5,15,Ⅰ,41.29 N,129.13 E,북한 함경북도 길주 북북서쪽 41km 지역
1066,2021-06-13 6:13,2,26,Ⅰ,36.97 N,130.34 E,경북 울릉군 울릉도 남서쪽 76km 해역
1065,2021-06-07 18:34,2.1,13,Ⅰ,33.68 N,128.07 E,전남 여수시 거문도 동남동쪽 80km 해역
1064,2021-05-30 23:53,2.4,9,Ⅰ,38.73 N,126.06 E,북한 황해북도 연산 남서쪽 23km 지역
1063,2021-05-26 6:13,2.2,-,Ⅰ,35.83 N,124.56 E,충남 태안군 서격렬비도 남서쪽 124km 해역
1062,2021-05-13 6:04,2,10,Ⅲ,35.89 N,127.33 E,전북 완주군 동쪽 15km 지역
1061,2021-05-04 22:42,2,19,Ⅰ,35.89 N,129.67 E,경북 포항시 남구 동남동쪽 31km 해역
1060,2021-04-30 16:15,2.1,7,Ⅲ,35.52 N,128.88 E,경남 밀양시 동쪽 12km 지역
1059,2021-04-29 5:12,2,18,Ⅰ,35.65 N,129.83 E,울산 동구 동북동쪽 41km 해역
1058,2021-04-28 12:00,2.5,20,Ⅰ,35.65 N,129.79 E,울산 동구 동북동쪽 37km 해역
1057,2021-04-25 17:07,2.3,5,Ⅰ,37.48 N,124.36 E,인천 옹진군 백령도 남남서쪽 60km 해역
1056,2021-04-23 2:41,2.2,6,Ⅰ,40.49 N,127.51 E,북한 함경남도 장진 동북동쪽 26km 지역
1055,2021-04-20 2:13,2.6,15,Ⅰ,35.08 N,125.05 E,전남 신안군 흑산도 북서쪽 57km 해역
1054,2021-04-19 15:48,2.7,20,Ⅰ,41.28 N,129.13 E,북한 함경북도 길주 북북서쪽 40km 지역
1053,2021-04-19 14:20,3.7,15,Ⅱ,35.07 N,125.08 E,전남 신안군 흑산도 북서쪽 54km 해역
1052,2021-04-16 1:43,2.2,11,Ⅲ,37.29 N,127.71 E,경기 여주시 동쪽 7km 지역
1051,2021-04-13 21:56,2,13,Ⅲ,36.02 N,126.91 E,전북 익산시 북북서쪽 9km 지역
1050,2021-03-16 2:51,2.6,18,Ⅲ,35.76 N,129.19 E,경북 경주시 남남서쪽 11km 지역
1049,2021-02-21 9:03,2.2,18,Ⅱ,35.47 N,126.34 E,전남 영광군 북서쪽 27km 해역
1048,2021-02-15 18:59,2.5,14,Ⅳ,35.99 N,126.84 E,전북 군산시 동북동쪽 10km 지역
1047,2021-02-10 19:28,2.1,9,Ⅱ,37.32 N,126.24 E,인천 옹진군 서남서쪽 38km 해역
1046,2021-02-08 7:46,2.3,24,Ⅰ,40.64 N,127.62 E,북한 함경남도 장진 북동쪽 43km 지역
1045,2021-02-08 3:37,3.2,24,Ⅰ,40.67 N,127.45 E,북한 함경남도 장진 북북동쪽 37km 지역
1044,2021-02-06 4:40,2.7,5,Ⅳ,35.81 N,127.53 E,전북 장수군 북쪽 18km 지역
1043,2021-02-03 12:17,2.2,8,Ⅲ,37.32 N,126.24 E,인천 옹진군 서남서쪽 38km 해역
1042,2021-01-24 6:23,2.1,11,Ⅰ,35.84 N,125.14 E,전북 군산시 어청도 서남서쪽 81km 해역
1041,2021-01-14 8:17,2.1,-,Ⅰ,36.86 N,125.43 E,충남 태안군 서격렬비도 북북서쪽 30km 해역
1040,2020-12-23 21:28,2.2,12,Ⅲ,37.73 N,126.73 E,경기 파주시 남서쪽 6km 지역
1039,2020-12-18 17:17,2.7,16,Ⅱ,37.66 N,129.32 E,강원 동해시 북동쪽 24km 해역
1038,2020-12-15 17:15,2.3,16,Ⅰ,37.70 N,125.17 E,북한 황해남도 옹진 남남서쪽 31km 해역
1037,2020-11-19 23:17,3.1,15,Ⅰ,37.99 N,125.37 E,북한 황해남도 옹진 북쪽 7km 지역
1036,2020-11-17 3:10,2.6,-,Ⅰ,41.28 N,129.18 E,북한 함경북도 길주 북북서쪽 38km 지역
1035,2020-11-15 0:00,2.1,17,Ⅲ,35.76 N,129.18 E,경북 경주시 남남서쪽 11km 지역
1034,2020-11-08 15:26,2.9,9,Ⅳ,36.41 N,128.22 E,경북 상주시 동쪽 5km 지역
1033,2020-11-06 18:27,2,8,Ⅱ,36.43 N,128.14 E,경북 상주시 북서쪽 3km 지역
1032,2020-11-04 16:50,2.4,22,Ⅰ,35.84 N,129.79 E,경북 포항시 남구 동남동쪽 43km 해역
1031,2020-11-04 7:23,2.2,23,Ⅰ,35.83 N,129.78 E,경북 포항시 남구 동남동쪽 43km 해역
1030,2020-11-04 4:41,2.8,-,Ⅰ,38.79 N,125.72 E,북한 황해북도 송림 북동쪽 10km 지역
1029,2020-10-25 19:10,2.5,17,Ⅰ,33.89 N,125.65 E,전남 진도군 남서쪽 87km 해역
1028,2020-10-24 15:09,2.1,21,Ⅰ,33.93 N,127.45 E,전남 여수시 거문도 남동쪽 16km 해역
1027,2020-10-09 4:38,2.1,15,Ⅲ,35.75 N,129.17 E,경북 경주시 남남서쪽 13km 지역
1026,2020-10-07 4:05,2.1,22,Ⅰ,33.92 N,127.44 E,전남 여수시 거문도 남동쪽 16km 해역
1025,2020-10-03 1:37,2.3,-,Ⅰ,38.83 N,126.03 E,북한 황해북도 연산 서남서쪽 20km 지역
1024,2020-10-02 22:29,2.6,-,Ⅰ,38.74 N,125.90 E,북한 황해북도 송림 동쪽 23km 지역
1023,2020-10-02 21:31,2.5,-,Ⅰ,38.74 N,125.89 E,북한 황해북도 송림 동쪽 22km 지역
1022,2020-09-22 20:08,2.1,15,Ⅱ,36.60 N,129.37 E,경북 영덕군 북쪽 21km 지역
1021,2020-09-20 1:22,2.2,17,Ⅲ,36.51 N,127.14 E,충남 공주시 북북동쪽 7km 지역
1020,2020-09-13 0:54,2.9,15,Ⅰ,37.64 N,124.60 E,인천 옹진군 백령도 남남서쪽 35km 해역
1019,2020-09-12 13:31,2.4,15,Ⅱ,36.03 N,128.40 E,경북 칠곡군 북쪽 4km 지역
1018,2020-09-02 19:43,2.3,-,Ⅱ,34.38 N,126.20 E,전남 진도군 남남서쪽 13km 지역
1017,2020-08-21 3:52,2.5,14,Ⅱ,37.91 N,125.93 E,북한 황해남도 해주 남동쪽 24km 지역
1016,2020-08-07 21:27,2.4,-,Ⅰ,41.30 N,129.09 E,북한 함경북도 길주 북북서쪽 43km 지역
1015,2020-08-05 1:22,2,7,Ⅰ,38.85 N,125.71 E,북한 황해북도 송림 북북동쪽 14km 지역
1014,2020-08-01 13:15,2,19,Ⅱ,36.77 N,128.48 E,경북 예천군 북쪽 13km 지역
1013,2020-08-01 2:58,2,17,Ⅰ,38.65 N,127.16 E,북한 강원 평강 북북서쪽 29km 지역
1012,2020-07-25 0:34,2.2,7,Ⅰ,34.06 N,125.54 E,전남 신안군 흑산도 남쪽 66km 해역
1011,2020-07-20 19:02,2,11,Ⅰ,34.53 N,128.14 E,경남 남해군 남남동쪽 41km 해역
1010,2020-07-15 15:20,2.4,-,Ⅰ,34.88 N,124.68 E,전남 신안군 흑산도 서북서쪽 77km 해역
1009,2020-07-11 22:38,2.7,-,Ⅰ,37.88 N,129.58 E,강원 동해시 북동쪽 57km 해역
1008,2020-07-07 14:08,3.3,12,Ⅲ,37.19 N,125.55 E,인천 옹진군 연평도 남남서쪽 54km 해역
1007,2020-07-03 13:59,2.3,6,Ⅲ,37.18 N,128.71 E,강원 영월군 동쪽 22km 지역
1006,2020-06-24 3:28,2.5,-,Ⅰ,38.66 N,125.95 E,북한 황해북도 사리원 북동쪽 24km 지역
